Detector;Year;Doctype;Publisher;Venue;Title;Citations;Altmetric;All Tips;Tortured Phrases;Assessor;PubPeer Users
tortured;2018;article;Elsevier;Procedia Computer Science;Analysis of movement and gesture recognition using Leap Motion Controller;11;0;1;increased reality AND 3D;Cabanac;Alexander Magazinov
tortured;2018;article;American Chemical Society (ACS);ACS Biomaterials Science & Engineering;Toxicity of Nanomaterials: Exposure, Pathways, Assessment, and Recent Advances;166;11;1;bosom malignancy;Cabanac;N. H. Wise
tortured;2018;article;Wiley;International Journal of Numerical Modelling Electronic Networks Devices and Fields;Design and analysis of multi-stage PID controller for frequency control in an islanded micro-grid using a novel hybrid whale optimization-pattern search algorithm;30;0;1;arbitrary esteem;Magazinov;Alexander Magazinov, Elisabeth M Bik
tortured;2018;chapter;Springer Nature;Deep Space Commodities;Humans Versus Machine: Who Will Mine Space?;0;0;1;counterfeit consciousness;Cabanac;Alexander Magazinov
tortured;2018;chapter;Springer Nature;Smart Intelligent Computing and Applications;An Effective Multi-faceted Cost Model for Auto-scaling of Servers in Cloud;7;0;1;carbon emanation;Cabanac;Peromyscus Sejugis
tortured;2018;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2018 Cross Strait Quad-Regional Radio Science and Wireless Technology Conference (CSQRWC);Optical Force and its Applications Based on Heterosexual Phosphorene Waveguide;0;0;1;heterosexual phosphorene;Cabanac;M.V. Simkin, Christophe Didier, N. H. Wise
tortured;2017;article;Elsevier;Sensors and Actuators B Chemical;Microfluidic impedimetric sensor for soil nitrate detection using graphene oxide and conductive nanofibers enabled sensing interface;96;0;1;sign to noise;Magazinov;Alexander Magazinov
tortured;2017;article;Springer Nature;Design Automation for Embedded Systems;RETRACTED ARTICLE: Test data compression for digital circuits using tetrad state skip scheme;2;0;1;irregular esteem;Cabanac;Hoya Camphorifolia
tortured;2017;article;American Chemical Society (ACS);ACS Omega;Cancer Therapeutic Proficiency of Dual-Targeted Mesoporous Silica Nanocomposite Endorses Combination Drug Delivery;24;0;1;surface region AND surface area;Cabanac;Elisabeth M Bik, Carios Puertoricensis, Actinopolyspora Biskrensis
tortured;2017;article;Taylor & Francis;Materials Technology;Surface modification of metallic biomaterials for enhanced functionality: a review;73;0;1;surface unpleasantness;Magazinov;Alexander Magazinov
tortured;2017;article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Access;Efficient Vector Influence Clustering Coefficient Based Directed Community Detection Method;17;0;1;hereditary algorithm;Cabanac;Guillaume Cabanac, Xiaolong Deng
tortured;2017;article;–;Journal of Intelligent & Fuzzy Systems;Investigate safety and quality performance at construction site using artificial neural network;1;0;1;shrouded layer;Cabanac;Guillaume Cabanac
tortured;2017;article;Institute of Electrical and Electronics Engineers (IEEE);Journal of Lightwave Technology;Distributed Fiber-Optic Acoustic Sensor With Enhanced Response Bandwidth and High Signal-to-Noise Ratio;91;0;1;sign to noise;Cabanac;Guillaume Cabanac
tortured;2017;article;–;Pharmacognosy Magazine;Green Biosynthesis, Characterization, In vitro Antidiabetic Activity, and Investigational Acute Toxicity Studies of Some Herbal-mediated Silver Nanoparticles on Animal Models;32;0;1;maturing populace;Cabanac;Guillaume Cabanac
tortured;2017;article;Elsevier;Optik;Effect of Cd2+ concentration on ZnFe2O4 nanoparticles on the structural, optical and magnetic properties;34;0;1;surface unpleasantness;Cabanac;N. H. Wise
tortured;2017;chapter;Springer Nature;Proceedings of the International Conference of Mechatronics and Cyber-MixMechatronics - 2017;State of the Art Survey on Using Robots in Oil and Gas Industry;2;0;1;man-made brainpower;Magazinov;Alexander Magazinov
tortured;2016;article;Elsevier;Waste Management;Silver recovery aqueous techniques from diverse sources: Hydrometallurgy in recycling;59;3;1;proof of idea;Cabanac;Alexander Magazinov
tortured;2016;article;SAGE Publications;Structural Health Monitoring;Structural damage identification via multi-type sensors and response reconstruction;20;0;1;sign to noise;Cabanac;Guillaume Cabanac, Alexander Magazinov
tortured;2016;article;Impact Journals, LLC;Oncotarget;MicroRNA-138 acts as a tumor suppressor in non small cell lung cancer via targeting YAP1;45;8;1;malignancy chance;Cabanac;Hoya Camphorifolia, Ling Xiao, Zhao-Qian Liu
tortured;2016;article;American Psychological Association (APA);Consulting Psychology Journal Practice and Research;GENDER BIAS AND SUBSTANTIVE DIFFERENCES IN RATINGS OF LEADERSHIP BEHAVIOR: TOWARD A NEW NARRATIVE;16;4;1;vitality productivity;Cabanac;Statcheck 
tortured;2015;article;Optica Publishing Group;Biomedical Optics Express;Differential diagnosis of human bladder mucosa pathologies in vivo with cross-polarization optical coherence tomography;43;1;1;quick Fourier transform;Cabanac;Guillaume Cabanac
tortured;2015;article;Elsevier;Procedia Technology;Design of Smart Meter Using Atmel 89S52 Microcontroller;3;0;1;vitality utilization;Cabanac;N. H. Wise
tortured;2015;article;Frontiers;Frontiers in Molecular Biosciences;Multifaceted role of matrix metalloproteinases (MMPs);134;3;1;Parkinson's malady;Cabanac;N. H. Wise
tortured;2015;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2015 4th International Conference on Reliability, Infocom Technologies and Optimization (ICRITO) (Trends and Future Directions);Emotion Recognition from Speech Using Gaussian Mixture Model and Vector Quantization;3;0;1;feeling recognition;Cabanac;Nerita Vitiensis
tortured;2014;article;Frontiers;Frontiers in Psychiatry;Biomarkers in Autism;138;32;1;super vector machine;Magazinov;Alexander Magazinov
tortured;2014;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2014 International Conference on Information Science, Electronics and Electrical Engineering;Research on the Forbidden Band Characteristics of the Negative Refraction Index One-dimensional Anisotropic Photonic Crystal;0;0;1;heterosexual photonic crystal;Cabanac;M.V. Simkin, N. H. Wise
tortured;2013;article;Elsevier;International Journal of Information Management;The usage and adoption of cloud computing by small and medium businesses;357;4;1;fluffy logic;Cabanac;Guillaume Cabanac
tortured;2013;article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Transactions on Pattern Analysis and Machine Intelligence;Toward Wide-Angle Microvision Sensors;19;0;1;far-flung sensor;Cabanac;Guillaume Cabanac, Coccura Suwakoensis
tortured;2011;article;Elsevier;Journal of Chromatography A;Simultaneous enantioselective determination of triazole fungicides in soil and water by chiral liquid chromatography/tandem mass spectrometry;107;1;1;sign to noise;Cabanac;Guillaume Cabanac
tortured;2011;article;Wiley;Journal of the Association for Information Science and Technology;Multinationals on the web: Cultural similarities and differences in English-language and Chinese-language website designs;13;0;1;information picture;Cabanac;Guillaume Cabanac
tortured;2011;article;Elsevier;Expert Systems with Applications;Intelligent system applications in electronic tourism;26;0;1;innocent Bayes;Cabanac;Guillaume Cabanac, Rhipidura Albiventris
tortured;2011;proceeding;Institute of Electrical and Electronics Engineers (IEEE);CVPR 2011;Wide-angle Micro Sensors for Vision on a Tight Budget;15;0;1;far-flung sensor;Cabanac;Guillaume Cabanac, Coccura Suwakoensis
tortured;2011;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2011 International Conference on Electric Information and Control Engineering;Research on arsenic removal with heterosexual electrode heterogeneous materials in water;0;1;1;heterosexual electrode;Cabanac;M.V. Simkin
tortured;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Information Retrieval & Knowledge Management (CAMP);Lung carcinoma pigeonholing and vaticination by interspersed approach;0;0;1;vaticination AND algorithm;Cabanac;Euglypha Cristata
tortured;2009;article;Elsevier;Trends in Cognitive Sciences;The fMRI signal, slow cortical potential and consciousness;291;401;1;mystery layer;Cabanac;Guillaume Cabanac
tortured;2009;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2009 International Forum on Information Technology and Applications;Notice of Retraction: Study on the Optimal Internal Processes Designing of Vegetable Distribution Center Based on Tracing Information Collection of Material Flow;1;0;1;information distribution center;Magazinov;Guillaume Cabanac
tortured;2008;article;American Psychological Association (APA);Journal of Personality and Social Psychology;Culture and the Cognitive and Neuroendocrine Responses to Speech;41;1;1;computerized reasoning;Cabanac;Statcheck 
tortured;2008;article;Springer Nature;Rheologica Acta;Rheo NMR and shear banding;112;0;1;sign to noise;Cabanac;Guillaume Cabanac
tortured;2007;article;Elsevier;The Science of The Total Environment;Lead and aluminium levels in infants' hair, diet, and the local environment in the Moroccan city of Marrakech;25;9;1;substantial metals;Cabanac;Etheostoma Kennicotti, Azeddine Sedki, Elisabeth M Bik
tortured;2007;article;Institute of Electrical and Electronics Engineers (IEEE);IEEE Sensors Journal;Nonlinear Dynamic Analysis of Electrostatically Actuated Resonant MEMS Sensors Under Parametric Excitation;86;3;1;sign to noise;Cabanac;Guillaume Cabanac
tortured;2007;chapter;Springer Nature;Current Topics in Artificial Intelligence;Olive Fly Infestation Prediction Using Machine Learning Techniques;3;0;1;ingenuous Bayes;Cabanac;Guillaume Cabanac
tortured;2006;article;Elsevier;The Science of The Total Environment;Trace element level in infant hair and diet, and in the local environment of the Moroccan city of Marrakech;23;9;1;substantial metals;Cabanac;Elisabeth M Bik
tortured;2006;article;Elsevier;Journal of Clinical Anesthesia;RETRACTED > RETRACTED: Dexmedetomidine infusion is associated with enhanced renal function after thoracic surgery;65;6;1;administered ML;Cabanac;Placocosma Resumptella
mathgen, scigen;2018;preprint;Elsevier;SSRN Electronic Journal;Influence of Highly-Available Algorithms on Power-Aware Steganography;0;0;589;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Trainable, Bayesian Symmetries for Reinforcement Learning;0;0;41;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Contrasting Neural Networks and 802.11 Mesh Networks;0;0;41;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2019;article;Peertechz Publications;Archives of Organ Transplantation;To boldly go where no one has gone before in organ transplantation: Changes in mating behaviour and buffalo burger eating preferences of giant forest ants after successful brain transplant from American cockroaches;0;1;40;–;Labbé;Actinopolyspora Biskrensis, Guillaume Cabanac, Hoya Camphorifolia
scigen;2015;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2014 7th International Conference on Intelligent Computation Technology and Automation;Notice of Retraction: The novel multicast design of RAID;0;0;40;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Refinement of Hierarchical Databases;0;0;40;–;Cabanac & Labbé (JASIST);–
scigen;2014;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Simulating Forward-Error Correction Using Reliable Archetypes;0;0;40;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Deconstructing Fiber-Optic Cables Using Pyrexia;0;0;39;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Studying Context-Free Grammar Using Collaborative Symmetries;0;0;39;–;Cabanac & Labbé (JASIST);–
scigen;2011;article;Trans Tech Publications;–;The Relationship between the Internet and Replication with PIONY;0;0;39;–;Cabanac & Labbé (JASIST);–
scigen;2010;article;Universidad Catolica Luis Amigo;Lámpsakos;La Programación Evolutiva Aplicada para Emular Robots;0;0;39;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;article;Institute of Advanced Engineering and Science;Indonesian Journal of Electrical Engineering and Computer Science;Cyber informatics and Contrasting Extreme Programming with Boolean Logic;2;0;38;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2013;preprint;Elsevier;SSRN Electronic Journal;Decoupling Boolean Logic from Erasure Coding in Online Algorithms;0;0;38;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;A development of the lookaside buffer with Dido;0;0;38;–;Cabanac & Labbé (JASIST);–
scigen;2018;preprint;Elsevier;SSRN Electronic Journal;Sustainable Virtual, Probabilistic Technologies for Managing the Partition Table;0;0;37;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2017;article;Scitechnol Biosoft;Global Journal of Research and Review;Cacheable, Stochastic, Ambimorphic Symmetries for XML;0;1;37;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators, Elaphoglossum Callifolium
scigen;2016;preprint;Elsevier;SSRN Electronic Journal;A Case for Telephony;0;0;37;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;The Effect of Empathic Technology on Artificial Intelligence;0;0;37;–;Cabanac & Labbé (JASIST);–
scigen;2013;article;Trans Tech Publications;–;Probabilistic, Cacheable Epistemologies;0;0;37;–;Cabanac & Labbé (JASIST);–
scigen;2011;article;Trans Tech Publications;–;Emulation of Vacuum Tubes;0;0;37;–;Cabanac & Labbé (JASIST);–
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;A methodology for the simulation of digital-to-analog converters;3;0;37;–;Cabanac & Labbé (JASIST);–
clayFeet, scigen;2018;preprint;Elsevier;SSRN Electronic Journal;Croll: An Expert System for Cyberanalysis of Networks;0;1;36;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;preprint;Elsevier;SSRN Electronic Journal;Comparing Lambda Calculus and Sensor 2.1 Networks;0;0;36;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2013;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2013 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE);TIC: A Methodology for The Construction of E-Commerce;0;0;36;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;An Image Histogram-dealing Algorithm Based on Gray Redundancy;0;0;36;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Architecting Web Services Using Constant-Time Theor;0;0;36;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;Pseudorandom reliable algorithms and their applications to amphibious communication;0;0;36;–;Cabanac & Labbé (JASIST);–
scigen;2013;article;Trans Tech Publications;–;Synthesizing the Partition Table Using Low-Energy Models;0;0;35;–;Cabanac & Labbé (JASIST);–
scigen;2011;article;Trans Tech Publications;Applied Mechanics and Materials;A Case for A-Star Search;0;0;35;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;Research on The Intrusion Detection System in Wireless Mesh Networks;1;1;35;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Visualizing Information Retrieval Systems and Scheme with Dyadicfund;0;0;35;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;Controlling the producer-consumer problem using constant-time epistemologies;1;0;35;–;Cabanac & Labbé (JASIST);–
scigen;2009;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2009 2nd IEEE International Conference on Broadband Network & Multimedia Technology;STUDY OF INTERNET QOS;0;0;35;–;Cabanac & Labbé (JASIST);–
scigen;2018;preprint;Elsevier;SSRN Electronic Journal;Constructing Randomized Algorithms with Pedicle Management System;0;0;34;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2017;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Improvement of B-Trees;0;0;34;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;article;Institute of Advanced Engineering and Science;International Journal of Software Engineering and Technologies (IJSET);Nitriary Model Towards Study of Flip-Flop Gates in Internet;0;0;34;–;Cabanac;SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the 2015 5th International Conference on Computer Sciences and Automation Engineering;Controlling SMPs Using Metamorphic Symmetries;0;0;34;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2012;preprint;Elsevier;SSRN Electronic Journal;Controlling Active Networks Using Stochastic Archetypes;0;0;34;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;Analyzing of Local-Area Networks using DuralAke;0;0;34;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;A Fast Algorithm for Multi-threaded Database Access;0;0;34;–;Cabanac & Labbé (JASIST);–
scigen;2009;article;–;2009 IEEE Circuits and Systems International Conference on Testing and Diagnosis;A Case for Wide-Area Networks;0;0;34;–;Cabanac;SeekAndBlastn Operators
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Synthesizing Red-Black Trees and Hash Tables;0;0;34;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the International Conference on Electronics, Mechanics, Culture and Medicine;Improving Lamport Clocks and Object-Oriented Languages;0;0;33;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Industrial Informatics and Computer Engineering Conference;Decoupling the World Wide Web from Redundancy in the Internet;0;0;33;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Contrasting Smalltalk and IPv6;0;0;33;–;Cabanac & Labbé (JASIST);–
clayFeet, scigen;2013;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2013 International Conference on Quality, Reliability, Risk, Maintenance, and Safety Engineering (QR2MSE);Evaluation of The Producer-Consumer Problem;0;0;33;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 2nd IEEE International Conference on Information Management and Engineering;Improving hash tables and multicast solutions using Kie;0;0;33;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 2nd IEEE International Conference on Information Management and Engineering;A Methodology for the Exploration of the Partition Table;0;0;33;–;Cabanac & Labbé (JASIST);–
scigen;2020;article;EDP Sciences;MATEC Web of Conferences;Retracted article: Analysis of extreme programming;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators, Guillaume Cabanac
scigen;2018;preprint;Elsevier;SSRN Electronic Journal;Decoupling the Ethernet From Rasterization in the World Wide Web;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2017;proceeding;Atlantis Press;Advances in Economics, Business and Management Research;Decoupling Byzantine Fault Tolerance from 802.11B in SCSI Disks;1;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators, Guillaume Cabanac
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Industrial Informatics and Computer Engineering Conference;Decoupling the Lookaside Buffer from Simulated Annealing in Evolutionary Programming;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Industrial Informatics and Computer Engineering Conference;Decoupling Multi-Processors from Congestion Control in Byzantine Fault Tolerance;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2013;preprint;Elsevier;SSRN Electronic Journal;SCSI Disks Considered Harmful;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen, suspect;2013;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Emulation of the World Wide Web;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen, suspect;2013;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Dobby: A Methodology for the Study of Replication;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2012;article;Trans Tech Publications;–;Enabling Virtual Machines and Scatter/Gather I/O Using ShernCod;0;0;32;–;Cabanac & Labbé (JASIST);–
scigen;2012;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Introspective, Client-Server Technology;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 Second International Conference on Computer Modeling and Simulation;Improving the Internet Using Concurrent Methodologies;0;0;32;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);Self-Learning, Highly-Available Methodologies for Byzantine Fault Tolerance;0;0;32;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;The effect of embedded epistemologies on complexity theory;0;0;32;–;Cabanac & Labbé (JASIST);–
scigen;2019;article;IOP Publishing;Journal of Physics Conference Series;A Methodology for the Synthesis of E-Commerce;0;0;31;–;Cabanac & Labbé (JASIST);Elaphoglossum Callifolium, Kim Eggleton
scigen;2017;preprint;Elsevier;SSRN Electronic Journal;Construction of Multicast Heuristics;1;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the International Conference on Electronics, Mechanics, Culture and Medicine;The Impact of Authenticated Epistemologies on Hardware and Architecture;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Developing Digital-to-Analog Converters and the Turing Machine Using Puy;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);The Effect of Interposable Configurations on Electrical Engineering;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Towards the Study of Internet Qos that would Make Exploring Smalltalk a Real Possibility;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Deconstructing Superblocks Using Niceness;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Methodology for the Emulation of Object-Oriented Languages;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2014;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);“Smart”, Distributed Information for Multi-processors;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2013;proceeding;AIP Publishing;AIP Conference Proceedings;Improving agents using reliable communication;0;0;31;–;Cabanac;Alexander Magazinov
scigen;2012;preprint;Elsevier;SSRN Electronic Journal;A Methodology for the Construction of Evolutionary Programming;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2011;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2011 International Conference on Internet of Things and 4th International Conference on Cyber, Physical and Social Computing;Symbiotic, Mobile Methodologies for Digital-to-Analog Converters;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2009;chapter;ASME International;International Conference on Advanced Computer Theory and Engineering (ICACTE 2009);An Extensive Unification of Lambda Calculus and Reinforcement Learning;0;0;31;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;Decoupling erasure coding from massive multiplayer online role-playing games in model checking;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2009;proceeding;SPIE, the international society for optics and photonics;Proceedings of SPIE;The effect of virtual modalities on e-voting technology;0;0;31;–;Cabanac & Labbé (JASIST);–
scigen;2019;article;IOP Publishing;IOP Conference Series Earth and Environmental Science;Neural Networks Considered Harmful;0;16;30;–;Cabanac & Labbé (JASIST);Elaphoglossum Callifolium
scigen;2018;proceeding;Atlantis Press;Proceedings of the Sriwijaya International Conference on Information Technology and Its Applications (SICONIAN 2019);Emulating Expert Systems and the Location-Identity Split;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Consistent Hashing Considered Harmful;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Industrial Informatics and Computer Engineering Conference;Analysis of an architecture for deploying Moore's Law;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2nd International Seminar of Science and Applied Technology (ISSAT 2021);Optimal, Linear-Time Models;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Reinforcement Learning for Cloud Computing Digital Library;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;The Impact of Cacheable Algorithms on Cryptography;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;A Novel Application for the Emulation of Sensor Net-Works;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2014;preprint;–;SSRN Electronic Journal;Constructing Smalltalk and IPv4;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2011;preprint;Elsevier;SSRN Electronic Journal;On the Visualization of Moore's Law;0;0;30;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2011;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2011 6th IEEE Joint International Information Technology and Artificial Intelligence Conference;An Extensive Unification of Lambda Calculus and Reinforcement Learning;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Networking and Digital Society;Application of Classical Methodologies in Improving Architecture;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2010;proceeding;Institute of Electrical and Electronics Engineers (IEEE);2010 International Conference on Information, Networking and Automation (ICINA);Client-Server, Psychoacoustic Communication for Forward-Error Correction;0;0;30;–;Cabanac & Labbé (JASIST);–
scigen;2019;article;ZIbeline International Publishing;INFORMATION MANAGEMENT AND COMPUTER SCIENCE;OPTIMAL METHODOLOGIES;0;0;29;–;Cabanac & Labbé (JASIST);–
scigen;2018;proceeding;Atlantis Press;Proceedings of the 2018 International Conference on Education Reform and Management Science (ERMS 2018);A Methodology for the Investigation of the Producer-Consumer Problem;0;0;29;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2016;proceeding;Atlantis Press;Proceedings of the 2016 International Conference on Education, Management, Computer and Society;Research of IPv4 and Forward-error Model;0;0;29;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2015;proceeding;Atlantis Press;Proceedings of the 2015 International Conference on Education Technology, Management and Humanities Science;A Case for Hierarchical Databases;0;0;29;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
scigen;2014;article;Trans Tech Publications;–;Towards the Simulation of Evolutionary Programming;0;0;29;–;Cabanac & Labbé (JASIST);–
scigen;2014;article;Trans Tech Publications;Applied Mechanics and Materials;Contrasting Active Networks and B-Trees Using Carl;0;0;29;–;Cabanac & Labbé (JASIST);–
scigen;2014;chapter;Taylor & Francis;Computer, Intelligent Computing and Education Technology;A case for journaling file systems;0;0;29;–;Cabanac & Labbé (JASIST);SeekAndBlastn Operators
